"","ID","Height","FreshLeafMass","DryLeafMass","LDMC","LeafArea","SLA","ShootDryBiomass","RootDryBiomass","TotalBiomass","RMF","RootVol","RootDensity","CoarseRootDiameter","RootLength","FineRootLength","CoarseRootLength","CoarseRootSpecLength","FineRootSpecLength","PropFineRoots"
"40","GITRp",5,0.0268833333333333,0.00358666666666667,0.134661113333333,0.884,239.247961566667,0.0293333333333333,0.0323333333333333,0.0616666666666667,0.530603945666667,1.44666666666667,0.0226701011666667,0.499633333333333,793.088733333333,662.374766666667,130.713966666667,4137.06000533333,21513.7507768333,0.821835864833333
"41","HOMU",17.4333333333333,0.0628766666666667,0.0161016666666667,0.255614257333333,4.56316666666667,289.581138733333,0.149415,0.162333333333333,0.311748333333333,0.522087307,2.6585,0.0621429921666667,0.50545,1519.0389,1238.25493333333,280.783966666667,1779.220992,8218.7668975,0.795963150166667
"42","HYGL",0.7,0.0171688,0.00173,0.0893211116,0.6374,418.66973364,0.009082,0.006176,0.015258,0.4346155634,1.085,0.0068922976,0.68514,438.42362,378.81074,59.61288,15923.8394362,70378.27348,0.8196762302
"43","HYRA",1.1,0.0132093333333333,0.00224166666666667,0.144064067333333,0.557333333333333,358.979930316667,0.00595,0.0127766666666667,0.0187266666666667,0.674200214333333,1.10116666666667,0.01309765,0.70615,322.441233333333,258.783683333333,63.65755,14373.2045706667,44008.9820466667,0.779122372
"44","LACA",4.58333333333333,0.0117988333333333,0.00122,0.1064534015,0.296666666666667,242.0887076,0.0128333333333333,0.00720333333333333,0.0200366666666667,0.373791168833333,1.09166666666667,0.00650547166666667,0.65215,343.6642,268.109816666667,75.5543833333333,12412.3002696667,45839.07603,0.7565748265
"45","LASE",0.54,0.0402396,0.008108,0.201367097,1.5306,198.57854546,0.028962,0.010586,0.039548,0.2921359212,1.1104,0.0101818176,0.60302,408.14336,335.00462,73.13874,8412.1769788,34528.430906,0.8115147106
"46","LENIf",3.08333333333333,0.00967,0.001845,0.189946863333333,0.392333333333333,217.255165166667,0.0203333333333333,0.0175,0.0378333333333333,0.460259884,0.805166666666667,0.0218045028333333,0.421133333333333,584.016716666667,495.656266666667,88.36045,5423.08638316667,29515.9939716667,0.846895148333333
"47","LENIp",4.53333333333333,0.0110583333333333,0.002565,0.230806459166667,0.381833333333333,163.823655406667,0.0253333333333333,0.0166983333333333,0.0420316666666667,0.402292276833333,1.11133333333333,0.0165746925,0.499583333333333,623.730166666667,530.499683333333,93.2304833333333,6063.33166333333,31358.290205,0.8367744935
"48","LIBI",4.28,0.0010382,0.000306,0.280088813,0.0614,225.91096996,0.00821,0.007654,0.015864,0.48835092,1.2218,0.0067005268,0.81002,249.22548,165.8534,83.37208,14622.8198884,24297.691478,0.650010111
"49","LOMU",13.2833333333333,0.0428816666666667,0.00756166666666667,0.176215123833333,2.61816666666667,353.449450916667,0.174051666666667,0.243896666666667,0.417948333333333,0.584174320833333,4.14333333333333,0.0588399378333333,0.600233333333333,1475.89766666667,1075.20308333333,400.694583333333,1654.04098866667,4484.00090083333,0.727592432
