Taxon,Height..cm._mean,Height..cm._sd,Fresh.leaf.mass..g._mean,Fresh.leaf.mass..g._sd,Dry.leaf.mass..g._mean,Dry.leaf.mass..g._sd,LDMC_mean,LDMC_sd,Leaf.Area..cm2._mean,Leaf.Area..cm2._sd,SLA..cm2.g._mean,SLA..cm2.g._sd,Shoot.dry.biomass..g._mean,Shoot.dry.biomass..g._sd,Root.dry.biomass..g._mean,Root.dry.biomass..g._sd,Total.biomass..g._mean,Total.biomass..g._sd,RMF_mean,RMF_sd,Root.volume..cm3._mean,Root.volume..cm3._sd,Root.density..g.cm3._mean,Root.density..g.cm3._sd,Coarse.root.diameter..mm._mean,Coarse.root.diameter..mm._sd,Length..mm._mean,Length..mm._sd,Fine.root.length..mm._mean,Fine.root.length..mm._sd,Coarse.root.length..mm._mean,Coarse.root.length..mm._sd,Coarse.root.specific.length..cm.g._mean,Coarse.root.specific.length..cm.g._sd,Fine.root.specific.length..cm.g._mean,Fine.root.specific.length..cm.g._sd,Proportion.fine.roots_mean,Proportion.fine.roots_sd
Carduus pycnocephalus,0.833333333,0.469687194,0.143832333,0.148796029,0.00318,0.001730927,0.066669821,0.059152161,0.67675,0.353087196,216.2641766,47.92622696,0.01578,0.004002817,0.021476667,0.037720061,0.037256667,0.039498398,0.432550047,0.177808284,1.2875,0.107923795,0.01589328,0.02624114,0.765616667,0.154819196,301.8655917,90.01736899,202.5103333,77.54022086,99.35525833,14.67077077,10563.21121,5721.946319,19520.00429,8090.709758,0.652400102,0.073372065
Lupinus bicolor,5.866666667,1.86726181,0.04894,0.016738836,0.008545,0.00311484,0.173235341,0.009379174,1.576333333,0.680885208,184.2511517,40.51460083,0.077,0.038631593,0.035833333,0.013847984,0.112833333,0.052032362,0.32885708,0.052032134,2.154,0.351505903,0.016232476,0.004484028,0.831083333,0.079299418,411.9310333,128.1457186,186.1067167,81.80842459,225.8243167,57.97345904,6670.825383,1396.066189,5275.594835,1206.944087,0.441605105,0.072126328
Bromus carinatus,22.15,5.097744599,0.051833333,0.027469377,0.010243333,0.005556087,0.195452838,0.020887421,3.339833333,1.792625384,333.5987743,56.81739704,0.024333333,0.01380821,0.039885,0.026697299,0.064218333,0.039975548,0.614550672,0.069015982,1.192,0.481932775,0.03288235,0.013539865,0.46075,0.125356863,760.2061833,281.7054288,640.7591667,267.9938294,119.4470167,56.92712149,3333.326317,868.3736159,19393.83078,8376.255307,0.833546932,0.071759418
Trifolium wildenovii,4.994444444,0.71164451,0.019663333,0.005911045,0.004857778,0.001742394,0.244296838,0.025459809,1.046888889,0.313745661,223.9921889,50.21018137,0.070518,0.029934493,0.0334885,0.0092717,0.1040065,0.037781253,0.33816553,0.059337153,1.661222222,0.262984132,0.021765198,0.005377956,0.573777778,0.116907744,675.6145222,150.2268161,522.1739611,152.4349056,153.4405611,16.69540283,4464.447025,805.3304975,15017.88686,4041.365181,0.759267282,0.071695818
Hordeum murinum,17.43333333,2.400555491,0.062876667,0.023750468,0.016101667,0.006185122,0.255614257,0.013655119,4.563166667,1.486244989,289.5811387,24.75343219,0.149415,0.032915619,0.162333333,0.032172452,0.311748333,0.063209087,0.522087307,0.026667621,2.6585,0.727574807,0.062142992,0.004879028,0.50545,0.183574505,1519.0389,567.5032884,1238.254933,522.8953845,280.7839667,61.67707645,1779.220992,451.3256994,8218.766898,4041.700861,0.79596315,0.071133593
Lotus purshianus,4.3,1.682854717,0.016846667,0.0121728,0.00498,0.003550487,0.308640448,0.092755451,0.887666667,0.524855282,194.6870707,37.51550101,0.053,0.027070279,0.024666667,0.010053192,0.077666667,0.036908897,0.32735109,0.034089298,2.096,0.288010416,0.011762702,0.004395839,0.860216667,0.136895221,382.3648667,133.4446687,239.60265,111.9460646,142.7622167,26.34985377,6256.305409,1451.943468,9831.330888,2297.992924,0.608981355,0.070610489
Trifolium hirtum,2.9875,0.760521438,0.048059875,0.013957437,0.0095025,0.003879056,0.19150567,0.04217044,2.20925,0.708868666,245.3068699,39.61715644,0.062875,0.030605497,0.026995,0.009567216,0.08987,0.039210907,0.314204489,0.055769256,1.500666667,0.128408203,0.01992197,0.004958811,0.512333333,0.075171874,771.3274667,236.0962842,635.6859167,228.8775828,135.64155,19.06842167,4819.695637,1593.365556,20675.89171,2717.126303,0.809216878,0.06906037
Sanicula unknown,3.78,0.637965516,0.038472,0.00960298,0.007228,0.002457777,0.203322361,0.083974846,1.6802,0.521734799,239.4465849,37.9974991,0.0288,0.01020784,0.0208,0.00491935,0.0496,0.012739702,0.432322404,0.096112667,1.4728,0.143663496,0.014140365,0.003146589,0.75652,0.112471316,339.81422,76.65122182,241.52076,71.18489051,98.29346,6.819203713,4881.508047,901.5342262,11684.26768,3066.854251,0.699363158,0.066503598
Bromus hordeaceus,13.13333333,5.158488151,0.033757222,0.027029429,0.006021111,0.005047377,0.176917089,0.017110758,2.200333333,1.62041669,395.9402428,61.11264245,0.024398889,0.021851788,0.037926667,0.033047027,0.062325556,0.054159614,0.615740453,0.05866304,1.715333333,0.715349215,0.018630076,0.010844154,0.695222222,0.17342775,490.2675,259.7571519,366.7081556,216.7820898,123.5593444,46.06400282,6313.878886,4923.528859,16957.74064,11477.58511,0.725281234,0.066395776
Convolvulus arvensis,4.966666667,1.105742586,0.043711667,0.019007383,0.006025,0.002271922,0.1403105,0.020987959,1.8405,0.718692354,312.2517092,50.3644505,0.049666667,0.016145175,0.08242,0.045350219,0.132086667,0.061087061,0.583541189,0.111979079,1.877833333,0.160076752,0.042803265,0.022234388,0.794383333,0.111060333,401.02485,122.6670214,243.1348667,83.95789781,157.8899833,43.72396216,2775.367962,2243.844419,3704.981847,1719.125546,0.597345454,0.064026782
