Taxon,ID,Rep,Date harvest,Height (cm),Fresh leaf mass (g),Dry leaf mass (g),LDMC,Leaf Area (cm2),SLA (cm2/g),Shoot dry biomass (g),Root dry biomass (g),Total biomass (g),RMF,Root volume (cm3),Root density (g/cm3),Coarse root diameter (mm),Length (mm),Fine root length (mm),Coarse root length (mm),Coarse root specific length (cm/g),Fine root specific length (cm/g),Proportion fine roots
Brassica nigra,BRNIf,5,3/11/22,2.1,0.085,0.02232,0.262588235,2.747,123.0734767,0.049,0.039,0.088,0.443181818,1.406,0.027738265,0.3962,1140.3258,1002.8605,137.4653,3524.751282,25714.37179,0.879450855
Brassica nigra,BRNIf,6,3/11/22,2.1,0.05732,0.01361,0.237438939,1.976,145.1873622,0.039,0.027,0.066,0.409090909,1.878,0.014376997,0.655,557.4844,414.0174,143.467,5313.592593,15333.97778,0.742652889
Clarkia purpurea,CLPUp,1,3/4/22,12.9,0.02091,0.00284,0.135820182,0.847,298.2394366,0.039,0.036,0.075,0.48,3.196,0.01126408,1.3056,238.6997,135.8631,102.8366,2856.572222,3773.975,0.56918002
Clarkia purpurea,CLPUp,2,3/7/22,7.5,0.03046,0.00336,0.110308601,1.199,356.8452381,0.034,0.04,0.074,0.540540541,1.815,0.022038567,0.481,998.6603,810.7374,187.9229,4698.0725,20268.435,0.811825002
Clarkia purpurea,CLPUp,3,3/7/22,4.6,0.0212,0.00272,0.128301887,0.792,291.1764706,0.021,0.022,0.043,0.511627907,1.6,0.01375,0.5127,775.0794,649.1721,125.9073,5723.059091,29507.82273,0.83755561
Clarkia purpurea,CLPUp,4,3/11/22,2.5,0.01325,0.0016,0.120754717,0.467,291.875,0.013,0.015,0.028,0.535714286,1.178,0.012733447,0.4338,797.3456,700.1975,97.1481,6476.54,46679.83333,0.878160612
Clarkia purpurea,CLPUp,5,3/11/22,2,0.01005,0.00101,0.100497512,0.331,327.7227723,0.00549,0.008,0.01349,0.593031875,0.958,0.008350731,0.5185,453.5768,366.2343,87.3425,10917.8125,45779.2875,0.807436139
Clarkia purpurea,CLPUf,1,4/1/22,1.5,0.00892,0.00095,0.106502242,0.407,428.4210526,0.0063,0.00359,0.00989,0.362992922,1.112,0.003228417,0.7395,258.8444,189.6318,69.2126,19279.27577,52822.22841,0.732609243
Clarkia purpurea,CLPUf,2,4/1/22,2,0.01266,0.00146,0.115323855,0.495,339.0410959,0.0078,0.005,0.0128,0.390625,1.167,0.00428449,0.6326,371.4129,277.7626,93.6503,18730.06,55552.52,0.747853938
Clarkia purpurea,CLPUf,5,4/1/22,1.4,0.008732,0.00075,0.085890976,0.294,392,0.00369,0.003,0.00669,0.448430493,1.094,0.00274223,0.7012,283.2763,212.4262,70.8501,23616.7,70808.73333,0.749890478
Gilia tricolor,GITRp,1,3/2/22,5.2,0.04497,0.00628,0.139648655,1.823,290.2866242,0.047,0.038,0.085,0.447058824,1.355,0.02804428,0.4428,879.8862,739.6585,140.2277,3690.202632,19464.69737,0.840629731
Gilia tricolor,GITRp,2,3/2/22,5.6,0.02811,0.00342,0.121664888,0.951,278.0701754,0.025,0.028,0.053,0.528301887,1.279,0.021892103,0.3984,1026.1981,901.0462,125.1519,4469.710714,32180.22143,0.878043138
Gilia tricolor,GITRp,3,3/2/22,5.1,0.01794,0.00312,0.173913043,0.517,165.7051282,0.031,0.033,0.064,0.515625,1.374,0.024017467,0.4442,886.2539,760.8043,125.4496,3801.50303,23054.67576,0.858449593
Gilia tricolor,GITRp,4,3/2/22,4.1,0.02717,0.0032,0.11777696,0.65,203.125,0.019,0.023,0.042,0.547619048,1.122,0.020499109,0.4262,786.6152,664.6681,121.9471,5302.047826,28898.61304,0.844972358
Gilia tricolor,GITRp,5,3/2/22,5.9,0.02313,0.00298,0.128837008,0.695,233.2214765,0.03,0.035,0.065,0.538461538,1.474,0.023744912,0.4992,752.8349,609.8311,143.0038,4085.822857,17423.74571,0.810046266
Gilia tricolor,GITRp,6,3/2/22,4.1,0.01998,0.00252,0.126126126,0.668,265.0793651,0.024,0.037,0.061,0.606557377,2.076,0.017822736,0.787,426.7441,298.2404,128.5037,3473.072973,8060.551351,0.698874103
Gilia tricolor,GITRf,3,3/11/22,2.5,0.01038,0.00106,0.102119461,0.389,366.9811321,0.00582,0.009165,0.014985,0.611611612,1.018,0.009002947,0.5325,457.1534,367.0181,90.1353,9834.729951,40045.6192,0.802833578
Lepidium nitidum,LENIp,1,3/4/22,4.9,0.01743,0.00403,0.231210557,0.523,129.7766749,0.036,0.029,0.065,0.446153846,0.81,0.035802469,0.3107,1068.3931,959.7974,108.5957,3744.67931,33096.46207,0.898356045
Lepidium nitidum,LENIp,2,3/4/22,5.8,0.01096,0.00355,0.323905109,0.28,78.87323944,0.039,0.017,0.056,0.303571429,0.918,0.018518519,0.4518,572.7723,494.9102,77.8621,4580.123529,29112.36471,0.864060989
Lepidium nitidum,LENIp,3,3/7/22,3.6,0.0084,0.00164,0.195238095,0.31,189.0243902,0.013,0.01019,0.02319,0.43941354,1.075,0.00947907,0.5835,402.0686,319.2757,82.7929,8124.916585,31332.25711,0.794082652
Lepidium nitidum,LENIp,4,3/4/22,4,0.01118,0.00221,0.197674419,0.349,157.918552,0.018,0.014,0.032,0.4375,1.421,0.009852217,0.5728,551.6319,469.8182,81.8137,5843.835714,33558.44286,0.851687874
Lepidium nitidum,LENIp,5,3/4/22,5.2,0.00983,0.00173,0.175991862,0.429,247.9768786,0.025,0.017,0.042,0.404761905,1.02,0.016666667,0.4231,725.6393,618.5612,107.0781,6298.711765,36385.95294,0.85243619
Lepidium nitidum,LENIp,6,3/4/22,3.7,0.00855,0.00223,0.260818713,0.4,179.3721973,0.021,0.013,0.034,0.382352941,1.424,0.009129213,0.6556,421.8758,320.6354,101.2404,7787.723077,24664.26154,0.760023211
Lepidium nitidum,LENIf,1,3/9/22,3.6,0.01,0.00214,0.214,0.362,169.1588785,0.025,0.02,0.045,0.444444444,0.827,0.024183797,0.4022,651.3555,550.9792,100.3763,5018.815,27548.96,0.845896289
Lepidium nitidum,LENIf,2,3/9/22,3,0.00903,0.00195,0.215946844,0.376,192.8205128,0.023,0.021,0.044,0.477272727,0.792,0.026515152,0.4191,574.398,484.6546,89.7434,4273.495238,23078.79048,0.843760946
Lepidium nitidum,LENIf,3,3/9/22,2.5,0.00901,0.00161,0.178690344,0.393,244.0993789,0.017,0.015,0.032,0.46875,0.823,0.018226002,0.4168,603.0408,519.8653,83.1755,5545.033333,34657.68667,0.86207318
Lepidium nitidum,LENIf,4,3/9/22,2.5,0.00639,0.00103,0.161189358,0.266,258.2524272,0.013,0.01,0.023,0.434782609,0.803,0.0124533,0.473,456.8819,371.5599,85.322,8532.2,37155.99,0.813251521
Lepidium nitidum,LENIf,5,3/9/22,3.8,0.01008,0.00193,0.191468254,0.408,211.3989637,0.019,0.016,0.035,0.457142857,0.814,0.01965602,0.4264,570.3238,480.4017,89.9221,5620.13125,30025.10625,0.842331497
Lepidium nitidum,LENIf,6,3/9/22,3.1,0.01351,0.00241,0.17838638,0.549,227.8008299,0.025,0.023,0.048,0.479166667,0.772,0.029792746,0.3893,648.1003,566.4769,81.6234,3548.843478,24629.43043,0.874057457
