name,Achillea millefolium,Agoseris unknown ,Aira caryophyllea,Amsinckia mensiezii,Anagallis arvensis,Annagalis arvensis,Aphanes occidentalis,Avena barbata,Avena fatua,Brassica nigra,Briza minor,Bromus carinatus,Bromus diandrus,Bromus hordeaceus,Bromus madritensis,Carduus pycnocephalus,Castilleja attenuata,Centaurea solistitialis,Cerastium glomeratum,Chamomilla suavolens,Clarkia purpurea,Convolvulus arvensis,Crassula unknown,Cynodon dactylon,Dichelostemma capitatum,Erodium botrys,Erodium cicutarium,Erodium moschatum,Eschscholzia californica,Festuca microstachys,Festuca myuros,Filago gallica,Galium aparine,Geranium dissectum,Geranium molle,Gilia tricolor,Hordeum murinum,Hypochaeris glabra,Hypochaeris radicata,Lactuca serriola,Lasthenia californica,Leontodon uknown,Lepidium nitidum,Linum bienne,Lolium multiflorum,Lotus purshianus,Lupinus bicolor,Madia elegans,Micropus californicus,Nemophila maculata,Plagiobothrus nothfulvus,Plantago erecta,Rumex pulcher,Sanicula unknown,Sherardia arvensis,Spergularia rubra,Stipa pulchra,Taeniatherum caput-medusae,Trifolium ciliolatum,Trifolium dubium,Trifolium eriocephalum,Trifolium glomeratum,Trifolium hirtum,Trifolium pratense,Trifolium subterraneum,Trifolium wildenovii,Triteleia laxa,Vicia sativa ,Vicia villosa,Vulpia bromoides,rowname
Height..cm._min,2.7,3.3,3.4,11.8,2.9,0.9,2.5,10,19.3,1.7,4.1,16.5,12.2,3.9,6.8,0.2,0.2,1.5,3.9,2.2,1.4,3.5,0.3,7.9,1.4,3.2,1.5,3.8,2.7,10.1,8.6,1.3,7.2,3.1,3.9,2.5,15,0.1,0.5,0.1,3.7,0.5,2.5,2.7,11.9,2.5,3,0.9,2,2.8,1.6,4.8,1.4,2.7,6,2.5,6.6,18,4,1.8,0.1,2.5,1.9,2.3,2.9,3.9,2.2,18.5,22.3,11.4,Height..cm._min
Height..cm._max,5.8,5.1,5.2,14.1,4.3,13,4.2,171.7,26.5,6,5.8,30,20.9,19.7,18.2,1.5,1.2,4.7,4.8,2.6,12.9,6.2,1.5,12.7,3.8,4.6,2.3,5.9,5.7,17.4,14.6,2.4,7.2,5.4,6.3,5.9,19.9,1.4,2,1.1,5.6,2.2,5.8,6.4,14.9,6.7,7.6,7.7,4,5.1,2.3,10.3,3.3,4.4,10.8,4.1,19,20.4,6.3,3.3,0.6,3.3,4,3.8,5,6.6,5,40.5,43,16.7,Height..cm._max
Height..cm._mean,3.96,4.0333,4.7167,13.25,3.68,3.3667,3.2833,40.6833,23.4667,3.575,4.85,22.15,16.4833,13.1333,10.72,0.8333,0.8333,2.82,4.3333,2.4,4.3,4.9667,0.9833,9.4333,2.36,3.675,1.7833,4.775,4.125,13.6,11.65,1.8333,7.2,4.7,4.78,4.6429,17.4333,0.7,1.1,0.54,4.5833,1.3,3.8083,4.28,13.2833,4.3,5.8667,3.4667,3.25,4.0333,2.05,7.5167,2.5667,3.78,9.2,3.0333,12.2667,19.0167,5.16,2.5833,0.25,2.8,2.9875,3.2167,3.9,4.9944,3.5,30.9833,33.85,13.2167,Height..cm._mean
Height..cm._median,3.8,3.95,4.9,13.45,3.7,1.5,3.4,15.6,23.7,3.25,4.75,23.05,16.85,13.3,9.5,0.85,1.1,2.5,4.25,2.4,2.25,5.05,1,9.05,2.2,3.45,1.65,4.7,4.05,12.75,12.05,1.8,7.2,5.15,4.6,5.1,17.2,0.4,0.95,0.6,4.5,1.35,3.65,4,13.4,3.8,6.7,2.6,3.3,4.05,2.05,7.3,2.8,3.9,10,2.8,12.95,19,5.2,2.65,0.2,2.6,3.05,3.3,3.7,5.1,3.3,30.2,34.05,12.6,Height..cm._median
Height..cm._q1,3.5,3.675,4.9,12.8,3.4,1.275,2.875,12.85,22.7,2.325,4.325,18.075,13.65,10.2,7.5,0.4,0.65,1.8,4.125,2.275,1.875,4.175,0.725,8.575,1.9,3.35,1.6,3.95,3.525,12.375,10.05,1.425,7.2,4.45,4.1,4.1,15.4,0.4,0.825,0.2,4.325,1,3.075,2.9,12.35,3.15,4.675,1.2,3.025,3.85,2,5.825,2.075,3.9,8.775,2.625,8.6,18.675,4.9,2.3,0.125,2.5,2.525,2.95,3.4,4.35,2.75,28.725,32.3,11.8,Height..cm._q1
Height..cm._q3,4,4.225,4.975,13.95,4.1,1.95,3.475,18.35,24.85,4.65,5.275,23.675,18.85,17.6,11.6,1.2,1.15,3.6,4.6,2.525,5.325,5.85,1.35,9.375,2.5,3.775,1.925,5.525,4.65,15.45,12.925,2.25,7.2,5.4,5,5.4,19.675,1.2,1.3,0.7,4.825,1.475,4.225,5.4,13.925,5.5,7.075,5.4,3.8,4.325,2.25,9.3,3.15,4,10.425,3.275,14.45,19.1,5.4,2.8,0.275,3.3,3.55,3.65,4.5,5.45,4.15,36.25,37,14,Height..cm._q3
Fresh.leaf.mass..g._min,0.0617,0.046,0.0026,0.0588,0.0281,0.0119,0.0284,0.032,0.051,0.0423,0.0145,0.024,0.049,0.0031,0.0101,0.0114,3.00E-04,0.0498,0.0386,0.0175,0.0087,0.0186,2.00E-04,0.021,0.0232,0.0565,0.0307,0.0674,0.0057,0.0023,0.0037,4.00E-04,0.0171,0.0413,0.044,0.0104,0.0329,0.0042,0.0033,0.0163,0.0083,0.0104,0.0064,3.00E-04,0.0295,0.0054,0.0268,0.0247,0.0026,0.0341,0.0306,0.0206,0.0417,0.0285,0.0043,0.0165,0.0086,0.0093,0.0291,0.0095,4.00E-04,0.0337,0.0274,0.0539,0.0479,0.0107,0.0032,0.0279,0.0133,0.0028,Fresh.leaf.mass..g._min
Fresh.leaf.mass..g._max,0.1138,0.0847,0.0035,0.077,0.0372,0.0222,0.0783,0.103,0.198,0.1305,0.2076,0.095,0.145,0.08,0.072,0.4238,0.0017,0.0745,0.0875,0.0268,0.0305,0.0721,5.00E-04,0.055,0.0736,0.0813,0.041,0.1456,0.0106,0.0182,0.009,1.883,0.0171,0.0962,0.1521,0.045,0.0961,0.0417,0.047,0.0779,0.0161,0.0551,0.0174,0.002,0.0542,0.035,0.0706,0.0948,0.0056,0.0923,0.0372,0.0877,0.3281,0.053,0.0075,0.0197,0.039,0.0163,0.054,0.0214,9.00E-04,0.0511,0.0639,0.0727,0.0937,0.0351,0.0128,0.1268,0.071,0.0052,Fresh.leaf.mass..g._max
Fresh.leaf.mass..g._mean,0.0864,0.0594,0.0029,0.071,0.0318,0.0173,0.0411,0.0667,0.1105,0.0845,0.0913,0.0518,0.091,0.0338,0.0273,0.1438,0.001,0.0628,0.0541,0.0213,0.0158,0.0437,4.00E-04,0.0332,0.0359,0.0675,0.0363,0.1039,0.0086,0.0095,0.0069,0.5395,0.0171,0.0786,0.0951,0.0245,0.0629,0.0172,0.0132,0.0402,0.0118,0.0357,0.0104,0.001,0.0429,0.0168,0.0489,0.0497,0.0044,0.0621,0.0334,0.0459,0.1803,0.0385,0.0064,0.018,0.0218,0.0129,0.0448,0.0165,6.00E-04,0.044,0.0481,0.0619,0.0683,0.0197,0.0071,0.0744,0.0407,0.0039,Fresh.leaf.mass..g._mean
Fresh.leaf.mass..g._median,0.074,0.0549,0.0029,0.0735,0.031,0.0177,0.0369,0.067,0.111,0.0855,0.0827,0.046,0.0905,0.037,0.019,0.0782,0.0012,0.0615,0.0503,0.0205,0.013,0.0436,4.00E-04,0.03,0.0293,0.0661,0.0366,0.1012,0.0091,0.0094,0.0072,0.2169,0.0171,0.0885,0.0893,0.0231,0.0617,0.0122,0.0074,0.0263,0.0116,0.0364,0.0099,9.00E-04,0.0433,0.0123,0.0533,0.0422,0.0043,0.0614,0.0328,0.0444,0.1487,0.0398,0.0068,0.0181,0.021,0.0138,0.047,0.0165,5.00E-04,0.0452,0.0487,0.0611,0.0635,0.019,0.0054,0.0786,0.036,0.0036,Fresh.leaf.mass..g._median
Fresh.leaf.mass..g._q1,0.0697,0.0508,0.0028,0.0681,0.0299,0.014,0.0308,0.0508,0.083,0.0585,0.0157,0.0315,0.066,0.0086,0.0116,0.0278,7.00E-04,0.0604,0.0404,0.0188,0.0098,0.0318,4.00E-04,0.024,0.0232,0.0586,0.0336,0.0873,0.0074,0.0059,0.0069,0.0012,0.0171,0.0756,0.0648,0.019,0.0465,0.0101,0.0041,0.0171,0.0096,0.0282,0.0089,8.00E-04,0.0393,0.0081,0.0366,0.0349,0.004,0.0382,0.031,0.0289,0.132,0.0311,0.006,0.0174,0.0126,0.0111,0.0449,0.0142,4.00E-04,0.04,0.0416,0.0567,0.0594,0.0167,0.0043,0.0498,0.0312,0.0031,Fresh.leaf.mass..g._q1
Fresh.leaf.mass..g._q3,0.113,0.0635,0.0029,0.0762,0.0328,0.0206,0.0373,0.081,0.1165,0.0986,0.1548,0.0665,0.1075,0.051,0.024,0.2455,0.0014,0.0678,0.0581,0.023,0.021,0.0533,5.00E-04,0.0382,0.0305,0.0751,0.0394,0.1178,0.0102,0.0118,0.0074,0.7972,0.0171,0.0914,0.125,0.0276,0.078,0.0177,0.0102,0.0637,0.0137,0.047,0.011,0.0012,0.0476,0.0251,0.0573,0.0608,0.0052,0.0851,0.0357,0.0615,0.2535,0.0399,0.0072,0.0184,0.0287,0.014,0.0491,0.021,8.00E-04,0.0488,0.0604,0.0659,0.0768,0.0216,0.0091,0.0906,0.0528,0.0047,Fresh.leaf.mass..g._q3
Dry.leaf.mass..g._min,0.0081,0.0098,4.00E-04,0.0085,0.0038,0.0017,0.0029,0.0073,0.0102,0.0046,0.002,0.0039,0.0072,6.00E-04,0.0019,0.0014,0,0.0062,0.0059,0.0023,8.00E-04,0.0024,0,0.0029,0.0027,0.0143,0.0091,0.0085,0.0011,0.001,8.00E-04,0,0.0015,0.0106,0.0114,0.0011,0.0082,3.00E-04,3.00E-04,0.0035,9.00E-04,0.0011,0.001,1.00E-04,0.0048,0.0016,0.0045,0.0017,4.00E-04,0.0031,0.005,0.003,0.0048,0.0031,6.00E-04,0.0017,0.003,0.0017,0.0039,0.0015,0,0.0079,0.0039,0.0106,0.0081,0.0024,6.00E-04,0.0064,0.0016,6.00E-04,Dry.leaf.mass..g._min
Dry.leaf.mass..g._max,0.0181,0.019,8.00E-04,0.0124,0.0054,0.003,0.0071,0.026,0.0307,0.0252,0.0034,0.0186,0.0234,0.0154,0.0112,0.0063,2.00E-04,0.0104,0.0084,0.0049,0.0034,0.0082,0,0.007,0.011,0.0244,0.0138,0.0301,0.0019,0.0041,0.0015,3.00E-04,0.0015,0.0279,0.0432,0.0063,0.0238,0.0046,0.009,0.0146,0.0015,0.0065,0.004,6.00E-04,0.0095,0.0097,0.0123,0.0135,0.0011,0.0161,0.0067,0.0111,0.0379,0.0096,0.002,0.0024,0.0097,0.0049,0.0115,0.0062,1.00E-04,0.0132,0.0136,0.0174,0.0171,0.0094,0.0024,0.021,0.0092,0.0013,Dry.leaf.mass..g._max
Dry.leaf.mass..g._mean,0.0115,0.0125,5.00E-04,0.0104,0.0046,0.0023,0.0051,0.0153,0.0192,0.0169,0.0025,0.0102,0.0144,0.006,0.0047,0.0032,1.00E-04,0.0088,0.007,0.0033,0.0018,0.006,0,0.0044,0.005,0.0188,0.0108,0.0217,0.0014,0.0023,0.0013,1.00E-04,0.0015,0.0223,0.0273,0.0032,0.0161,0.0017,0.0022,0.0081,0.0012,0.0042,0.0022,3.00E-04,0.0076,0.005,0.0085,0.0055,8.00E-04,0.0091,0.0058,0.0065,0.0194,0.0072,0.0015,0.0021,0.0064,0.0035,0.0092,0.0042,1.00E-04,0.0106,0.0095,0.0129,0.0118,0.0049,0.0013,0.0128,0.0055,9.00E-04,Dry.leaf.mass..g._mean
Dry.leaf.mass..g._median,0.011,0.0112,5.00E-04,0.0102,0.0045,0.0023,0.0049,0.015,0.0188,0.0171,0.0023,0.0094,0.0143,0.006,0.0037,0.0027,1.00E-04,0.0088,0.0068,0.003,0.0015,0.007,0,0.0042,0.0036,0.0183,0.0107,0.0242,0.0013,0.0023,0.0014,1.00E-04,0.0015,0.0253,0.0255,0.0031,0.0153,0.0012,0.001,0.0043,0.0013,0.0043,0.002,3.00E-04,0.0078,0.0034,0.0095,0.0044,8.00E-04,0.0083,0.006,0.0064,0.0152,0.008,0.0017,0.0021,0.0062,0.004,0.0101,0.0041,1.00E-04,0.0106,0.0116,0.0122,0.0108,0.0046,9.00E-04,0.0128,0.0054,9.00E-04,Dry.leaf.mass..g._median
Dry.leaf.mass..g._q1,0.0094,0.01,4.00E-04,0.0098,0.004,0.0022,0.0045,0.0118,0.0126,0.0124,0.002,0.0063,0.0102,0.0015,0.0023,0.0018,1.00E-04,0.0088,0.0063,0.0024,0.001,0.0047,0,0.0031,0.0032,0.016,0.0094,0.0202,0.0012,0.0015,0.0012,0,0.0015,0.0212,0.0207,0.0027,0.012,6.00E-04,6.00E-04,0.0036,0.001,0.0035,0.0017,2.00E-04,0.007,0.0027,0.006,0.0038,7.00E-04,0.0052,0.0053,0.0051,0.0125,0.0072,0.0013,0.0019,0.0042,0.0028,0.0096,0.0039,1.00E-04,0.0096,0.0061,0.0121,0.0097,0.0037,7.00E-04,0.0084,0.0042,8.00E-04,Dry.leaf.mass..g._q1
Dry.leaf.mass..g._q3,0.0111,0.0132,5.00E-04,0.011,0.0052,0.0026,0.006,0.0171,0.0244,0.0226,0.0026,0.0135,0.0173,0.0096,0.0043,0.004,1.00E-04,0.0095,0.0079,0.0038,0.0028,0.0074,0,0.0052,0.0044,0.0211,0.0115,0.0257,0.0016,0.0025,0.0014,2.00E-04,0.0015,0.0264,0.0356,0.0033,0.0211,0.0019,0.0015,0.0144,0.0014,0.0054,0.0023,4.00E-04,0.0085,0.0078,0.0104,0.0058,9.00E-04,0.0128,0.0063,0.0077,0.0277,0.0082,0.0019,0.0022,0.0087,0.0042,0.0108,0.0052,1.00E-04,0.0119,0.0119,0.0129,0.0134,0.0053,0.0016,0.0157,0.0072,0.0011,Dry.leaf.mass..g._q3
LDMC_min,0.0972,0.1867,0.1286,0.1369,0.1021,0.1065,0.0912,0.2099,0.1445,0.0844,0.0131,0.1625,0.1467,0.1465,0.1556,0.0087,0.0888,0.1248,0.0945,0.1293,0.0859,0.1142,0.0519,0.1261,0.0926,0.2528,0.2499,0.1266,0.1411,0.1972,0.166,0,0.0864,0.257,0.2587,0.1021,0.2372,0.0566,0.0943,0.1642,0.077,0.1016,0.1612,0.1967,0.1553,0.2122,0.1623,0.0693,0.1481,0.0921,0.162,0.1165,0.0755,0.0589,0.1342,0.1048,0.2487,0.1696,0.1345,0.1605,0.0377,0.2307,0.1404,0.1793,0.1635,0.1933,0.1581,0.1353,0.1229,0.203,LDMC_min
LDMC_max,0.1599,0.2241,0.2652,0.1623,0.1791,0.1802,0.167,0.2519,0.2209,0.2852,0.1652,0.2243,0.1612,0.1971,0.1955,0.1498,0.1069,0.1549,0.1592,0.1813,0.1358,0.1777,0.1095,0.1422,0.1539,0.2999,0.3433,0.2563,0.2068,0.4158,0.2233,0.1434,0.0864,0.3204,0.3185,0.1739,0.2744,0.1114,0.1921,0.227,0.1419,0.1273,0.3239,0.3234,0.2013,0.4813,0.1885,0.1426,0.1975,0.1746,0.1816,0.2056,0.1154,0.2626,0.2654,0.1263,0.3648,0.3002,0.2247,0.2914,0.3415,0.2587,0.2495,0.2395,0.1826,0.2942,0.1848,0.2307,0.1757,0.3333,LDMC_max
LDMC_mean,0.1349,0.2084,0.1682,0.1459,0.1454,0.1386,0.13,0.2285,0.1768,0.1999,0.0819,0.1955,0.1563,0.1769,0.1841,0.0667,0.0972,0.139,0.1368,0.1498,0.1129,0.1403,0.076,0.1344,0.135,0.2766,0.2983,0.2032,0.1682,0.2682,0.1883,0.0459,0.0864,0.2805,0.2862,0.13,0.2556,0.0893,0.1441,0.2014,0.1065,0.1159,0.2104,0.2801,0.1762,0.3086,0.1732,0.1058,0.1731,0.1386,0.1741,0.1496,0.1068,0.2033,0.2227,0.1151,0.3085,0.2673,0.1994,0.2466,0.2083,0.2409,0.1915,0.2083,0.172,0.2443,0.1746,0.1791,0.1365,0.2406,LDMC_mean
LDMC_median,0.1481,0.21,0.1514,0.1446,0.1568,0.1376,0.1309,0.2295,0.1704,0.2089,0.0781,0.1975,0.1579,0.1803,0.1937,0.0509,0.0959,0.1401,0.1488,0.1443,0.1128,0.1367,0.0729,0.1354,0.1433,0.2768,0.2974,0.215,0.1625,0.2403,0.1888,0.0116,0.0864,0.2722,0.2844,0.1261,0.2533,0.1014,0.1497,0.2115,0.1044,0.1167,0.1965,0.2973,0.1765,0.2908,0.172,0.0981,0.1725,0.1389,0.1762,0.1429,0.1127,0.2414,0.2456,0.1137,0.3045,0.2878,0.2129,0.2602,0.2,0.238,0.1942,0.2067,0.1705,0.2439,0.181,0.1763,0.1293,0.2291,LDMC_median
LDMC_q1,0.117,0.2069,0.1377,0.1424,0.1292,0.1266,0.1055,0.2168,0.1548,0.1618,0.0146,0.1871,0.1539,0.163,0.1804,0.0129,0.0923,0.1293,0.1245,0.1296,0.105,0.1328,0.0618,0.1298,0.1358,0.2693,0.2817,0.1866,0.1417,0.2128,0.1747,1.00E-04,0.0864,0.2658,0.284,0.1197,0.2483,0.0693,0.1309,0.188,0.0925,0.1146,0.1786,0.264,0.1662,0.2615,0.1672,0.0849,0.1533,0.1319,0.1688,0.1256,0.1103,0.2017,0.2063,0.1115,0.2841,0.2659,0.2038,0.2314,0.1648,0.2355,0.1508,0.1965,0.1691,0.2265,0.1695,0.1647,0.1253,0.2097,LDMC_q1
LDMC_q3,0.1523,0.2126,0.1724,0.1453,0.16,0.1446,0.1549,0.2354,0.196,0.236,0.1452,0.2048,0.1606,0.19,0.1953,0.1254,0.1014,0.1456,0.1518,0.1646,0.1226,0.1429,0.0864,0.1384,0.1491,0.2841,0.3181,0.2316,0.189,0.2939,0.1919,0.0874,0.0864,0.2869,0.2854,0.1342,0.2649,0.1079,0.1528,0.2162,0.118,0.1183,0.2198,0.3191,0.1828,0.3165,0.1773,0.1266,0.1941,0.1528,0.1808,0.1726,0.1145,0.252,0.262,0.1193,0.3395,0.2968,0.221,0.2756,0.2973,0.2443,0.226,0.2201,0.1742,0.2639,0.1829,0.1904,0.1356,0.2416,LDMC_q3
Leaf.Area..cm2._min,2.562,1.824,0.099,1.684,1.367,0.499,1.098,1.988,3.239,1.585,1.072,1.408,3.219,0.224,0.819,0.263,0.018,1.676,1.645,0.607,0.294,0.945,0.009,1.766,0.749,1.796,1.011,3.778,0.325,0.291,0.275,0.023,0.441,2.159,2.384,0.389,2.547,0.161,0.161,0.621,0.189,0.452,0.266,0.02,2.104,0.398,0.7,0.494,0.134,0.833,1.183,0.596,1.881,0.895,0.175,0.323,0.551,0.604,1.261,0.764,0.015,1.733,1.163,2.884,3.194,0.622,0.109,2.072,0.994,0.107,Leaf.Area..cm2._min
Leaf.Area..cm2._max,5.139,3.098,0.157,2.003,1.763,1.068,2.513,5.934,11.264,3.76,1.915,6.178,8.496,4.47,5.061,1.281,0.08,2.862,2.773,1.138,1.199,2.858,0.012,3.968,2.198,2.642,1.398,6.489,0.736,0.855,0.567,0.158,0.441,5.102,6.887,1.823,6.436,1.639,1.689,2.973,0.434,1.77,0.549,0.108,3.22,1.674,2.55,3.687,0.321,3.055,1.404,2.387,11.514,2.163,0.288,0.421,2.413,1.371,2.411,1.674,0.042,3.041,2.973,3.312,4.613,1.71,0.462,8.879,5.228,0.503,Leaf.Area..cm2._max
Leaf.Area..cm2._mean,3.5382,2.2413,0.1238,1.9285,1.5552,0.7807,1.5075,4.1087,6.6803,2.6797,1.3882,3.3398,5.4643,2.2003,2.051,0.6768,0.0543,2.0956,2.1637,0.8605,0.604,1.8405,0.0107,2.4842,1.141,2.2498,1.2433,4.9428,0.5295,0.5603,0.4077,0.0808,0.441,4.021,4.6194,0.8133,4.5632,0.6374,0.5573,1.5306,0.2967,1.1618,0.3871,0.0614,2.6182,0.8877,1.5763,1.5942,0.2533,1.9602,1.2949,1.3685,6.8372,1.6802,0.2432,0.3755,1.2985,1.0663,1.9782,1.3175,0.0243,2.3262,2.2092,3.0732,3.851,1.0469,0.2757,5.7287,2.8922,0.2868,Leaf.Area..cm2._mean
Leaf.Area..cm2._median,3.297,2.0235,0.122,1.978,1.514,0.7835,1.4055,4.185,6.949,2.831,1.259,3.013,5.3415,2.56,1.566,0.6465,0.065,1.831,2.011,0.8485,0.481,1.8685,0.011,2.2735,0.914,2.2805,1.2785,4.752,0.5285,0.576,0.407,0.0885,0.441,4.4115,4.281,0.668,4.664,0.373,0.363,1.059,0.2915,1.172,0.3845,0.057,2.6455,0.7055,1.523,1.511,0.267,1.9565,1.2865,1.324,5.828,1.637,0.255,0.377,1.2075,1.164,2.043,1.391,0.0225,2.3005,2.4755,3.036,3.785,1.0355,0.256,6.065,2.528,0.282,Leaf.Area..cm2._median
Leaf.Area..cm2._q1,2.708,1.9625,0.1158,1.9365,1.457,0.6478,1.206,3.0585,4.8135,2.0758,1.2372,2.0405,4.1688,0.648,0.911,0.3465,0.0415,1.793,1.788,0.6932,0.388,1.304,0.0102,1.8568,0.834,1.952,1.206,4.0015,0.4345,0.3945,0.3738,0.0427,0.441,3.839,3.172,0.5835,3.592,0.287,0.2048,0.771,0.2408,0.999,0.3392,0.048,2.303,0.5085,1.1375,0.9962,0.2338,1.2075,1.2141,0.9038,5.5565,1.555,0.2102,0.3735,0.7288,0.8912,1.994,1.073,0.0192,2.249,1.7173,3.0098,3.286,0.8288,0.1825,4.0548,2.0948,0.1927,Leaf.Area..cm2._q1
Leaf.Area..cm2._q3,3.985,2.4085,0.1275,1.9985,1.675,0.9065,1.464,5.304,7.4217,2.9965,1.454,4.2862,6.293,3.482,1.898,0.8973,0.0725,2.316,2.624,1.0157,0.8058,2.2575,0.011,2.748,1.01,2.5782,1.3037,5.6932,0.6235,0.6915,0.4222,0.0968,0.441,4.5935,6.373,0.823,5.541,0.727,0.5528,2.229,0.3355,1.3908,0.4132,0.074,2.8403,1.2265,1.9955,1.6362,0.298,2.7408,1.3862,1.7372,9.3365,2.151,0.288,0.3812,1.684,1.262,2.182,1.612,0.025,2.4535,2.726,3.1365,4.377,1.196,0.359,7.446,3.7255,0.3585,Leaf.Area..cm2._q3
SLA..cm2.g._min,284.394,163.2244,161.3333,161.5323,271.8284,232.093,233.28,213.0636,271.528,115.5371,529.2793,243.833,359.9121,291.0156,362.3894,159.3407,490.7975,175.8657,276.7477,234.1564,291.1765,237.2857,305.5556,524.9538,200.3646,108.412,93.6462,169.3394,277.7778,207.0218,192.3077,366.6667,297.973,158.5663,153.6077,165.7051,248.7075,300.8065,187.0432,154.2561,187.4016,255.0661,78.8732,177.7778,295.2582,151.7391,135.4808,222.929,284.9057,187.8939,200.2999,142.2619,304.0401,190.3305,146.9226,163.5965,160.9337,248.5597,197.6214,244.3018,135.7143,188.4266,193.5593,190.1263,269.6084,154.5794,191.2281,322.2395,372,183,SLA..cm2.g._min
SLA..cm2.g._max,360.3074,198.5816,348.8889,202.795,463.9474,452.5424,405.9649,336.5854,424.4944,407.5922,622.7723,416.8878,447.7051,483.5341,467.1795,289.0625,631.068,294.847,335.3083,289.9598,428.4211,385.7143,500,625.9649,337.2694,127.4676,138.1579,442.3888,493.9597,300,495.122,2800,297.973,203.4873,209.3064,366.9811,309.5008,555.1724,580.6452,245.7077,316.7883,426.4151,258.2524,333.3333,436.5145,253.5032,242.268,430.179,401.25,289.0909,240.8184,278.8551,464.0678,286.859,303.2929,197.3684,248.7629,472.9885,321.6837,499.3464,1000,255.3317,302.0779,286.673,405.679,360.6557,297.6744,622.2848,607.8341,399.2063,SLA..cm2.g._max
SLA..cm2.g._mean,309.6541,182.4014,269.5568,187.5098,348.6592,334.534,303.0029,273.1988,351.3292,180.0751,563.806,333.5988,391.758,395.9402,428.3767,216.2642,567.5036,242.4959,304.4557,268.5314,340.6651,312.2517,382.2253,566.8794,248.6642,120.721,116.4075,262.8503,375.413,260.254,333.3375,1303.642,297.973,184.2363,173.893,257.4956,289.5811,418.6697,358.9799,198.5785,242.0887,298.6749,190.5394,225.911,353.4495,194.6871,184.2512,296.2383,338.0446,229.233,223.1774,208.6695,377.0577,239.4466,187.4025,181.474,196.2745,314.9817,228.7451,339.4196,337.7489,220.6114,245.3069,242.4073,336.1698,223.9922,227.8096,448.2565,530.2685,298.7286,SLA..cm2.g._mean
SLA..cm2.g._median,300.8212,184.5664,289.1844,195.2302,325.2427,322.7228,294.3168,266.572,356.4658,161.3266,549.5408,333.0111,373.5721,417.5635,438.3372,199.4488,580.6452,263.1818,303.5033,275.0048,333.3819,303.4971,385.3073,552.0005,231.1213,123.5022,117.401,219.8364,364.9573,272.1301,338.6364,885,297.973,187.4458,167.9482,265.0794,299.8949,380.6283,362.1901,202.9352,235.3002,277.7782,190.9225,194.7368,349.1084,184.4481,183.2963,288.6615,326.3889,221.7464,224.202,213.6921,384.7576,227.9944,149.6974,182.5116,192.4154,291.8999,209.8346,317.068,166.6667,225.1915,238.2004,249.4205,328.9392,228.3139,194.5263,421.7878,557.2828,315.2286,SLA..cm2.g._median
SLA..cm2.g._q1,288.3919,178.4874,220.113,177.6197,303.7778,297.6105,243.4323,256.2378,325.3708,140.4641,535.8803,318.361,364.3121,361.2033,422.1024,172.9952,535.7214,204.447,281.701,259.0898,296.6483,297.0793,338.0708,538.1346,209.8039,118.0286,105.5771,204.0746,307.012,228.7524,270.3578,656.3889,297.973,172.7832,159.3844,218.1732,276.6449,353.2328,299.0296,176.4205,214.6429,259.5056,166.3488,186.2069,314.587,172.2154,155.7613,251.4963,314.8875,194.616,220.1445,190.5657,342.6471,224.8441,146.991,177.3736,184.3246,279.9295,201.106,275.8355,136.3636,203.0049,224.8829,227.5228,327.13,180.6345,192.8772,402.5361,497.102,220.3869,SLA..cm2.g._q1
SLA..cm2.g._q3,314.3558,186.398,321.0417,197.6986,378.5,371.593,346.3301,294.3482,377.1277,188.6869,581.8733,354.2818,419.3139,424.5439,451.875,257.8284,605.8566,274.1379,325.8045,284.4465,365.6339,337.3063,392.4689,597.6332,264.7619,126.1946,127.0024,278.612,433.3584,289.9939,375.4525,1950,297.973,198.8989,179.2182,284.1784,307.9191,503.5088,378.4237,213.5734,261.3137,295.6422,231.8755,237.5,377.9976,215.4966,206.761,336.4215,365.3074,257.4475,229.1132,225.6078,393.2741,267.205,190.1089,186.024,199.2226,304.4272,213.4796,382.8979,250,234.2708,280.0075,256.2903,349.4922,252.4495,246.1004,484.437,596.9479,372.0082,SLA..cm2.g._q3
Shoot.dry.biomass..g._min,0.028,0.112,0.0015,0.208,0.0325,0.0103,0.0481,0.013,0.051,0.0073,0.0069,0.008,0.017,0.0018,0.0043,0.0098,0.0014,0.036,0.1022,0.027,0.0037,0.025,0.0035,0.0046,0.015,0.199,0.0972,0.0267,0.008,0.0056,0.014,0.0014,0.035,0.0393,0.073,0.0058,0.0966,0.0016,0.001,0.0097,0.005,0.0048,0.013,0.0035,0.1433,0.024,0.041,0.0084,0.0066,0.053,0.125,0.0363,0.0109,0.013,0.016,0.06,0.0048,0.0186,0.0205,0.0036,3.00E-04,0.03,0.027,0.0704,0.0906,0.0074,6.00E-04,0.1681,0.02,0.001,Shoot.dry.biomass..g._min
