Loc.code,Province,EcoRegion,Site,SiteName,Aspect_NS,Soil,Loc.code,y,x,elev,Aspect,Slope,Moss,Rocks,Bare Soil,Burrow,Litter Depth,Scat,Shrub Cover,Herb Cover,Mean shrub ht (m,max shrub ht (m),OM,ENR,Bray_P,Olsen_P,PH,K,S,MG,CA,NA,H,CEC,CaMgRatio,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,ndvi_mar,ndvi_aug
klbnsns,kl,60,bn,Brannan Mountain,s,ns,klbnsns,40.96817,-123.67093,787,227.7,25,0,0.86,0.86,0,7.43,0,0,0.14,0,0,7,169.8,12,8.6,5.7,137,4.54,157.4,713.9,19.2,1.4,6.7,4.54,102,146,50,5111,275,-13,288,46,168,170,42,1401,247,6,77,708,43,58,665,225,229
klbnsse,kl,60,bn,Brannan Mountain,s,se,klbnsse,40.96545,-123.69457,1125,174,14.7,0,30.43,13.14,0.29,1.36,0,60.25,0.94,3.34,3.34,5.7,144,2.3,6.9,6.8,36.5,8.3,1086,399.6,8,0.3,11.4,0.37,88,142,50,4931,256,-24,280,35,153,154,31,1437,252,7,76,722,48,63,676,103,216
klbrnns,kl,37,br,Burnt Ranch,n,ns,klbrnns,40.79817,-123.50742,957,39.3,16,39,9.14,0,0.43,5.71,0,3,0,0.04,0.06,4,109.4,30.2,10.6,5.5,81.5,5,141.8,708.8,19.1,1.8,6.7,5,99,154,50,5480,286,-22,308,39,171,173,36,1293,230,6,77,657,41,56,621,200,225
klbrnse,kl,37,br,Burnt Ranch,n,se,klbrnse,40.77305,-123.48443,1073,26,18.1,4.43,2.71,33.14,2.57,1.83,0.29,53.25,7.59,1.9,1.9,6.2,154,2.3,10.6,6.7,35.7,0,1068,238.5,12.3,0.5,10.6,0.22,89,151,50,5401,272,-30,302,32,161,162,28,1306,230,6,77,659,43,57,623,182,198
klbrsns,kl,37,br,Burnt Ranch,s,ns,klbrsns,40.78265,-123.50888,997,219.3,29.3,10.29,1.43,9,0,4.43,0,0,0,0,0,3.8,105.8,16.3,10.9,5.5,84.9,6.72,56.9,382.2,17.3,0.9,3.6,6.72,90,150,50,5342,272,-28,300,33,161,162,29,1324,233,6,76,668,43,58,631,203,225
klbrsse,kl,37,br,Burnt Ranch,s,se,klbrsse,40.77275,-123.48405,1058,131,19.4,3.04,3.14,16.43,3.43,2.6,0.29,44.5,16.83,0.83,4.77,6.7,163,4.2,4.5,6.8,31.9,0,1126,285,12.8,0.3,11.2,0.25,89,151,50,5401,272,-30,302,32,161,162,28,1306,230,6,77,659,43,57,623,182,198
klccnns,kl,40,cc,Castle Crags,n,ns,klccnns,41.16680,-122.32148,1061,55.9,18.7,0.71,1.14,0,0,4.14,0,40,3.71,0.43,0.77,6.6,161.4,50.7,15.6,6.2,74.3,2.34,229.9,538.7,14.7,0.7,5.5,2.34,100,160,46,6325,302,-39,341,30,184,184,25,1170,208,8,75,569,44,44,564,58,201
klccnse,kl,40,cc,Castle Crags,n,se,klccnse,41.16580,-122.32075,1107,68,26.3,7.1,34.57,1.71,2.86,3.17,0.14,32,22.46,5.46,7.17,7.3,176,2.2,10.6,6.7,45.1,0,715.3,300.7,11.5,0.4,7.9,0.42,101,160,47,6323,302,-38,340,30,184,184,26,1180,209,8,75,574,44,44,569,58,201
klccsns,kl,40,cc,Castle Crags,s,ns,klccsns,41.16568,-122.32271,1080,189.4,19.1,0,2.71,12.86,0,3.79,0.29,34.86,6.71,1.32,1.96,6,150.8,22.2,15.5,6.1,72,3.54,172.7,610.5,13.1,0.8,5.5,3.54,101,160,47,6323,302,-38,340,30,184,184,26,1180,209,8,75,574,44,44,569,58,201
klccsse,kl,40,cc,Castle Crags,s,se,klccsse,41.16517,-122.32087,1102,154,19.6,1.16,21.71,6.07,3.86,3.26,0.14,37.75,24.07,5.81,9.34,5,131,1,10.1,6.5,33.9,0,363.8,200.7,7.8,0.3,4.4,0.55,101,160,47,6323,302,-38,340,30,184,184,26,1180,209,8,75,574,44,44,569,58,216
klgcnns,kl,31,gc,Graves Creek,n,ns,klgcnns,41.19561,-122.65633,995,48.1,18.1,13.86,13.86,3.57,0.14,2.14,0,14.57,23,0.13,0.31,5.6,142.2,5.9,8.3,6.4,96,1.62,379.8,613.4,11.3,0.6,7.1,1.62,104,162,46,6470,310,-37,347,30,189,189,26,795,136,8,70,389,42,42,375,161,204
klgcnse,kl,31,gc,Graves Creek,n,se,klgcnse,41.20497,-122.64343,1049,297,19.4,2.6,10.2,1.14,1.57,4.1,0.29,48,15.43,15.36,19.21,6,151,14.4,6.8,6.3,80.9,2.7,1304,751.5,7.2,1.7,16.4,0.58,106,163,46,6520,313,-35,348,31,192,192,27,802,139,7,71,394,41,41,380,117,196
klgcsns,kl,31,gc,Graves Creek,s,ns,klgcsns,41.18477,-122.65871,941,160.1,8.1,0.71,11.43,1.43,0,3.14,0,4.57,25.14,0.04,0.07,5.5,140.8,22.1,17.9,6.4,114.2,2.61,312.1,816,13.6,0.7,7.7,2.61,97,160,46,6336,300,-42,342,25,181,181,21,788,132,8,69,381,42,42,366,134,197
